text,label
"I'll beat you up after school",1
"You're going to get hurt if you keep talking",1
"I'll break your face",1
"Wait until I catch you alone",1
"You'll regret coming to school tomorrow",1
"I'm going to make your life hell",1
"You better watch your back",1
"I'll be waiting for you outside",1
"We're going to get you after class",1
"You won't see it coming",1
"Keep it up and you'll be sorry",1
"I know where you live and I'm coming",1
"Say that again and I'll hurt you",1
"There's nowhere you can hide from me",1
"I'll make you pay for this",1
"You'll wish you never met me",1
"Give it to me or you'll regret it",1
"Tell anyone and you're finished",1
"I'll be counting the days until I get you",1
"You have no idea what I'm capable of",1
"Cross me again and see what happens",1
"I'll ruin you if you talk",1
"You better be scared of me",1
"This isn't over between us",1
"I'll teach you a lesson you won't forget",1
"You're pathetic and everyone laughs at you",1
"Nobody likes you, just disappear",1
"You're so ugly it hurts to look at you",1
"Everyone thinks you're a loser",1
"You're worthless and stupid",1
"Why do you even bother showing up",1
"You embarrass everyone around you",1
"No one would care if you were gone",1
"You're a joke, the whole class laughs at you",1
"You're disgusting and everyone agrees",1
"You're a complete failure",1
"Nobody wants you here",1
"You're the most annoying person alive",1
"Everyone would be happier without you",1
"You're too dumb to understand anything",1
"You'll never amount to anything",1
"You're a waste of space",1
"Just quit, you're hopeless",1
"You make everyone sick",1
"No wonder you have no friends",1
"You're an embarrassment to your family",1
"Everyone talks about how pathetic you are",1
"You're a freak and everyone knows it",1
"Go cry about it like you always do",1
"You're the reason everyone leaves",1
"We're all against you now",1
"Nobody in this group wants you",1
"Everyone is going to ignore you from now on",1
"We already told everyone to avoid you",1
"You're not welcome anywhere",1
"The whole school is going to hate you",1
"We'll make sure no one talks to you",1
"You're getting kicked out of the group",1
"Stay away, nobody likes you",1
"We'll turn everyone against you",1
"Send me the money or I'll post everything",1
"Do it or everyone sees your photos",1
"Give me your password or you're in trouble",1
"If you tell your parents I'll share it",1
"Pay up or the whole school finds out",1
"You do what I say or else",1
"Delete that or I'll expose you",1
"Keep quiet or you'll be sorry",1
"Shut your mouth before I shut it for you",1
"You're nothing but a pathetic little coward",1
"I'll humiliate you in front of everyone",1
"Everyone's laughing at how stupid you look",1
"You better not show your face here again",1
"I'll destroy your reputation",1
"You're going to cry when I'm done with you",1
"Nobody will save you this time",1
"You're weak and everyone can see it",1
"I'll spread things that ruin you",1
"You disgust me and everyone else",1
"Watch what happens when you least expect it",1
"You're a loser and you'll end up alone",1
"I'll make sure you never come back",1
"Everyone agrees you should just leave",1
"You're trash and you know it",1
"Keep talking and I'll end you",1
"You should be afraid to walk home",1
"You're going to regret everything",1
"Nobody would miss you if you vanished",1
"You're the biggest embarrassment in school",1
"I'll be there waiting when you leave",1
"You can't escape what's coming to you",1
"You're finished, everyone's done with you",1
"Everyone hates you and always will",1
"You're a pathetic waste of everyone's time",1
"I'll hunt you down after school",1
"You're so worthless it's laughable",1
"Get lost, nobody can stand you",1
"You'll pay for embarrassing me",1
"I'll make every day miserable for you",1
"You're a pathetic excuse for a person",1
"I'll wait for you after school so we can walk home",0
"Watch out for the wet floor over there",0
"You'll regret missing the party, it'll be so fun",0
"Everyone loved your presentation today",0
"Wait until you see what I got you",0
"I'll be outside if you need me",0
"We're going to get pizza, want to come",0
"You won't believe what happened today",0
"I'll pay for the movie, you get the snacks",0
"Everyone is coming to celebrate your birthday",0
"Watch out, that step is a bit slippery",0
"I'll catch you after class so we can study",0
"You're going to do great on the test",0
"Nobody makes me laugh like you do",0
"I know where you live, I'll bring the game over",0
"Don't worry, everyone struggles with this at first",0
"I'll be waiting at the gate, we'll ride together",0
"You'll thank me later for this advice",0
"We're all rooting for you",0
"Save me a seat, I'm on my way",0
"You did amazing, everyone was impressed",0
"I'll help you carry that, it's heavy",0
"See you tomorrow, thanks for everything",0
"Let's walk home together after practice",0
"You're one of the kindest people I know",0
"Everyone wants you on their team",0
"I'll remind you before the deadline",0
"Get some rest before the big game",0
"I've got your back, don't stress",0
"Can't wait to see you this weekend",0
"You're going to love the surprise",0
"Text me when you get home safe",0
"Everyone missed you while you were away",0
"I'll wait, take your time",0
"You always know how to cheer me up",0
"Let's grab lunch, my treat",0
"You're doing better than you think",0
"We should hang out more often",0
"Thanks for waiting for me after school",0
"You'll be fine, just breathe",0
"Everyone thinks you're really talented",0
"I'll cover for you if you're late",0
"Come over whenever you want",0
"You're a great friend and I mean it",0
"Watch the new episode, you'll love it",0
"I'll bring you soup since you're sick",0
"Nobody deserves this win more than you",0
"Let me know if you need a ride",0
"You made everyone's day better today",0
"So proud of how far you've come",0
"I'll make you regret coming to school",1
"You'll be sorry you ever crossed me",1
"Keep this up and you'll regret it",1
"You're going to wish you never did that",1
"Come to school tomorrow and see what happens",1
"You'll pay for what you said",1
"I'll make sure you regret this",1
"Watch what happens to you next week",1
"You won't be laughing for long",1
"Say one more word and you'll regret it",1
"I'm going to make you sorry",1
"You have no idea what's coming for you",1
"Enjoy it while it lasts, you're next",1
"You'll wish you stayed home today",1
"I'll deal with you after class",1
"You're going to regret ever meeting me",1
"Better watch yourself from now on",1
"You'll see what happens when you ignore me",1
"This is your last warning before things get bad",1
"You brought this on yourself, just wait",1
"I'll ruin everything for you",1
"You're done, and you don't even know it yet",1
"Keep talking and find out what happens",1
"You'll regret laughing at me",1
"I promise you'll be sorry for this",1
"Nowhere is safe for you anymore",1
"You messed with the wrong person",1
"Wait and see what I do to you",1
"You're going to have a very bad week",1
"I won't forget this, and neither will you",1
