text,label
"מה קורה איתך? מזמן לא דיברנו",0
"כל כך כיף לי לבלות איתך",0
"אני שמח שאני חבר שלך, נהנה איתך תמיד",0
"בא לי לשחק איתך אחר הצהריים",0
"נהניתי מאוד ללמוד איתך למבחן",0
"אפשר לשבת לידך? טוב לי איתך",0
"תודה שהיית איתי כל היום",0
"בוא נעשה שיעורים איתך אחרי הלימודים",0
"אני איתך בכל מצב, אל תדאג",0
"היה לי יום מושלם איתך",0
"אשמח להיפגש איתך בסוף השבוע",0
"תמיד נעים לדבר איתך",0
"אף פעם לא נמאס לי ממך",0
"אין אף בעיה, אני אשמח לעזור",0
"לא הפריע לי אף רגע, נהניתי",0
"אף אחד לא מצחיק אותי כמוך",0
"אין אף סיבה לדאוג, הכל יהיה טוב",0
"רוצה גלידה או עוגה אחרי הצהריים?",0
"נלך לפארק או לקולנוע היום?",0
"אתה מעדיף להיפגש שבת או ראשון?",0
"נשחק כדורגל או נצא לאופניים?",0
"תרצה תה או מיץ? הכנתי לך",0
"בוא נלך לשחק עכשיו, יש לי זמן",0
"אני פנוי עכשיו אם בא לך להיפגש",0
"עכשיו הזמן המושלם ללמוד יחד",0
"בוא נצא עכשיו לפני שיורד גשם",0
"אפשר לדבר עכשיו? רציתי לשמוע איך אתה",0
"עכשיו אני מבין כמה אתה חבר טוב",0
"אני איתך בכל צעד, נצליח יחד",0
"תודה על העזרה בכל הפרויקט",0
"בכל פעם שאני רואה אותך אני שמח",0
"אתה מקסים בכל מצב",0
"בכל מקרה, אני גאה בך",0
"שמרתי לך מקום לידי בכיתה",0
"בוא נמצא מקום שקט ללמוד בו",0
"יש מקום בשבילך בקבוצה שלנו",0
"נשמור לך מקום במסיבה",0
"אין כמוך, אתה חבר אמיתי",0
"אין לי מילים כמה נהניתי היום",0
"אין שום בעיה, קח את הזמן שלך",0
"אין על החברות שלנו",0
"אני רוצה להזמין אותך למסיבה שלי",0
"רוצה שנלך יחד הביתה?",0
"אני ממש רוצה לעזור לך במבחן",0
"רוצה לבוא אליי לשחק היום?",0
"אני רוצה שתדע שאתה חבר מצוין",0
"איך היה המבחן שלך היום?",0
"תגיד לי איך אתה מרגיש",0
"איך הלך לך באימון?",0
"איך היה הטיול המשפחתי?",0
"תראה לי איך עשית את זה, מגניב",0
"אנחנו צוות מנצח, קדימה",0
"אנחנו נצליח יחד, אני בטוח",0
"אנחנו הולכים לחגוג לך יום הולדת",0
"אנחנו חברים הכי טובים",0
"אנחנו נלמד יחד ונעבור את המבחן",0
"בוא ותראה מה הכנתי לך",0
"תישאר ותראה כמה יהיה כיף במסיבה",0
"פתח ותראה את ההפתעה שהכנתי",0
"בוא ותראה את המשחק החדש שלי",0
"לא תצטער שבאת, יהיה מדהים",0
"אתה ממש לא תצטער על הבחירה הזאת",0
"בוא איתנו, לא תצטער!",0
"קח את זה ממני במתנה קטנה",0
"תלמד ממני אם בא לך, בכיף",0
"שמעת ממני על הטיול המדהים?",0
"קיבלת ממני את ההודעה?",0
"אני אגיד לכולם כמה אתה מוכשר",0
"בוא נספר לכולם את החדשות הטובות",0
"עשית טוב לכולם היום, כל הכבוד",0
"תודה לכולם על היום הכיפי",0
"המבחן גמור, בוא נצא לחגוג",0
"כשתהיה גמור עם השיעורים נשחק",0
"הפרויקט כמעט גמור, עבודה מצוינת",0
"בוא נלך מפה לגלידה",0
"אני גר לא רחוק מפה",0
"נצא מפה יחד אחרי השיעור",0
"בוא נזוז מפה למקום שקט יותר",0
"מקווה שלא איחרת לאוטובוס",0
"דאגתי שלא תישאר לבד בהפסקה",0
"וידאתי שלא שכחת את התיק",0
"אני חבר שלך ולא אשכח את זה",0
"נשארתי איתך ולא ויתרתי עליך",0
"אני תמיד כאן ולא הולך לשום מקום",0
"אם בא לך אחרת, נעשה מה שתרצה",0
"בפעם אחרת נלך לסרט, בסדר?",0
"אולי ניפגש בשעה אחרת שנוחה לך?",0
"תספר לי איך היה בטיול",0
"בבקשה תספר לי על היום שלך",0
"תספר לי בדיחה טובה, בא לי לצחוק",0
"כולם ידעו כמה אתה מוכשר",0
"רציתי שכולם ידעו שאתה חבר טוב",0
"שידעו שעשית עבודה מצוינת",0
"אני בטוח שכולם אוהבים אותך",0
"ראיתי שכולם שמחו לראות אותך",0
"נראה שכולם נהנו במסיבה",0
"אעשה הכל כדי לעזור לך",0
"אני אעשה לך שוקו חם, שב",0
"אעשה איתך שיעורים בשמחה",0
"אתה החבר הכי טוב שלי",0
"זה היה היום הכי כיף שהיה לי",0
"אתה הכי מוכשר בכיתה",0
"אתה הכי מצחיק שאני מכיר",0
"בוא נלך לשחק בפארק אחרי הצהריים",0
"מה שלומך היום? מקווה שהכל טוב",0
"נתראה מחר בבית הספר, לילה טוב",0
"תודה רבה על המתנה, ממש התרגשתי",0
"שיהיה לך יום נהדר, נדבר בערב",0
"בהצלחה במבחן, אתה תסתדר מעולה",0
"אני גאה בך על ההישג המדהים",0
"בוא נלמד יחד לפני המבחן",0
"רוצה לבוא לארוחת ערב אצלנו?",0
"אתה תמיד יכול לסמוך עליי",0
"היה כיף לשחק איתך היום",0
"מחכה לראות אותך במסיבה",0
"תודה שעזרת לי עם השיעורים",0
"אתה חבר שאפשר לסמוך עליו",0
"בוא נצא לרכוב על אופניים",0
"אני שמח שנפגשנו היום",0
"מקווה שתרגיש טוב יותר בקרוב",0
"נשמור על קשר גם בחופש",0
"אתה עשית לי את היום",0
"בוא נאכל יחד בהפסקה",0
"אני כאן בשבילך תמיד",0
"תעדכן אותי איך היה, סקרן לדעת",0
"נהיה חברים לנצח",0
"בוא נעשה משהו כיף בסוף השבוע",0
"תודה על הצחוקים היום, היה מדהים",0
"אני מאמין בך, אתה תצליח",0
"שמור לי מקום, אני בדרך",0
"נצא לטיול יחד בחופש הגדול",0
"אתה תמיד מעלה לי חיוך",0
"בוא נצפה בסרט הערב",0
"אני שמח שאתה בקבוצה שלי",0
"תודה שחיכית לי אחרי האימון",0
"נלך יחד לקנות מתנה לחבר",0
