text,label
"אני אחכה לך אחרי בית הספר ותראה מה יקרה לך",1
"תיזהר ממני, אתה עוד תצטער על זה",1
"אתה תשלם על זה ביוקר",1
"אני יודע איפה אתה גר ואני אבוא אליך",1
"כדאי לך לא להגיע מחר, אחרת",1
"אם תספר למישהו אתה תחטוף",1
"חכה ותראה מה אני אעשה לך",1
"אתה גמור אם תמשיך עם זה",1
"אני אהרוס לך את החיים",1
"עוד תבכה בגללי, אני מבטיח לך",1
"אל תעז להסתובב לבד",1
"אני אמצא אותך בכל מקום",1
"תתכונן לחטוף אחרי הלימודים",1
"אתה לא יודע עם מי אתה מתעסק",1
"אני אגרום לכולם לשנוא אותך",1
"כולם צוחקים עליך מאחורי הגב",1
"אתה מביך את כל הכיתה",1
"כמה שאתה עלוב, אין עליך",1
"אתה בדיחה, כולם חושבים ככה",1
"תסתכל על עצמך, מגוחך לגמרי",1
"אף אחד לא לוקח אותך ברצינות",1
"אתה תמיד הכי טיפש בחדר",1
"איזה כישלון אתה, כרגיל",1
"כולם מדברים עליך ולא לטובה",1
"אתה מעורר רחמים, באמת",1
"אין לך שום סיכוי, אתה חלש",1
"כולם רואים כמה אתה מסכן",1
"אתה מביש את המשפחה שלך",1
"תפסיק לנסות, אתה סתם מצחיק את כולם",1
"אתה הכי דוחה בכיתה",1
"אף אחד לא רוצה אותך פה",1
"אתה לא שייך לקבוצה הזאת",1
"לך מפה, אף אחד לא צריך אותך",1
"אנחנו לא רוצים אותך איתנו",1
"תישאר לבד, מגיע לך",1
"אף אחד לא באמת חבר שלך",1
"כולם החליטו להתעלם ממך",1
"אתה לבד ותישאר לבד",1
"לא הוזמנת ולא תוזמן אף פעם",1
"תעזוב, אתה רק מפריע לכולם",1
"אתה מיותר לחלוטין פה",1
"כולם שמחים כשאתה לא בסביבה",1
"אתה נטל על כולם",1
"אף אחת לא תרצה אותך לעולם",1
"כדאי לך פשוט להיעלם",1
"אף אחד לא יתגעגע אליך",1
"עדיף שלא היית קיים בכלל",1
"תעשה לכולם טובה ותלך",1
"העולם יהיה טוב יותר בלעדיך",1
"אתה סתם בזבוז מקום",1
"אם אתה חבר שלי תעשה מה שאני אומר",1
"שלח לי תמונה עכשיו אחרת נגמר בינינו",1
"אל תעז לספר להורים שלך על זה",1
"תעשה את זה או שכולם ידעו את הסוד שלך",1
"אתה חייב לי, אז תשתוק ותציית",1
"אם לא תיתן לי להעתיק אתה תצטער",1
"תמחק את זה עכשיו או שאני מפיץ הכל",1
"תעשה מה שאמרתי, אין לך ברירה",1
"אתה שלי עכשיו, תעשה מה שאני רוצה",1
"אם תעז לספר, תראה מה יקרה",1
"מכוער כמוך לא ראיתי מעולם",1
"אתה שמן ומגעיל, כולם מסכימים",1
"אתה טיפש מכדי להבין משהו",1
"אתה חתיכת אפס, תמיד היית",1
"מה אתה בכלל שווה, כלום",1
"אתה מטומטם וכולם יודעים את זה",1
"תסתכל כמה אתה חלש ופחדן",1
"אתה מגעיל אותי כשאני רואה אותך",1
"אתה הכי דביל שפגשתי",1
"אף אחד לא סובל אותך, תתרגל",1
"כולם צוחקים על איך שאתה נראה",1
"אתה תמיד תהיה לבד ואומלל",1
"תחזור הביתה בוכה כמו תמיד",1
"אתה כזה לוזר שאין עליך",1
"בוא נראה אותך מנסה, מצחיק",1
"אתה לא ראוי לשום דבר טוב",1
"כולם מתביישים להיות לידך",1
"אתה תיכשל בכל דבר שתעשה",1
"אני אדאג שלא יהיו לך חברים",1
"תמשיך ותראה עד כמה זה יהיה גרוע לך",1
"נתראה מחר בבית הספר, תודה על הכל",0
"תודה רבה על העזרה, אתה חבר אמיתי",0
"בוא נשחק כדורגל אחרי הצהריים",0
"מה שלומך? מזמן לא דיברנו",0
"כל הכבוד על המבחן, מגיע לך",0
