text,label
שאלה רטורית,0
מסכן מי שזה לא יהיה,1
🔗 ‏TikTok · netanel_avraham_1 |,0
מה הוא עושה שם,0
פשוט תצרף מי שאתה רואה שהוא לא בפנים,0
תיכנס ואז החשבון שיש לך שם תשאיר אותו,0
מיידלע,0
המכוער,1
אני אוכל אותך,0
אני יצור ערוץ,0
מי לא בפנים,0
שמינית מהסטיקרים,0
כן עשיתי להומתך לשחק בראול,0
איטי,1
איזה איטי אתה,1
מה אני יעשה אם זה,0
אתה לא יכול,0
איטי,0
סתום יאהבל חוד,1
אל תבוא לא רוצים אותך,1
אתה יא מכוער,1
יבן זונה,1
אתה דפוק פעם שלישית?,1
תכתוב פה ימניאק,1
עוד פעם אני שואל אתה דפוק?,1
אתה לא יא מכוער,1
מה אתה באמת דפוק?,1
